,filename,dbcount,premean,premedian,prestd,presem,postmean,postmedian,poststd,postsem,nstim
29,data_20140527_101534_21120.h5,80,1.6666666666666667,1.4583333333333335,1.96908984427192,0.5937029265408458,31.041666666666668,30.0,6.734679114685255,2.030582155168534,12
30,data_20140528_082350_21537.h5,80,2.9807692307692313,1.25,4.842183966159298,1.3978181081638803,31.217948717948723,30.833333333333336,7.208475132852989,2.080907529199698,13
31,data_20140529_061537_21860.h5,80,6.111111111111112,1.6666666666666667,12.427257476815297,3.3213242668191176,28.75,29.583333333333336,7.467522272406618,1.9957792765320819,15
32,data_20140825_112944_135777_compute-0-0.local.h5,80,5.673076923076923,0.8333333333333334,8.708752691317356,2.5140003553189767,28.58974358974359,26.25,9.344913920072782,2.6976442836539505,13
33,data_20140825_112953_135901_compute-0-0.local.h5,80,7.115384615384617,0.8333333333333334,18.05622564882071,5.212383369447632,32.8525641025641,32.5,12.10910840012141,3.4955984972282277,13
34,data_20140825_113008_118292_compute-0-1.local.h5,80,1.527777777777778,0.8333333333333334,1.8982610625855432,0.5073316090606106,29.47222222222222,35.0,11.328907087732214,3.027777777777778,15
35,data_20140825_113020_118416_compute-0-1.local.h5,80,1.8269230769230769,0.0,3.1880957694380014,0.9203239753436687,33.26923076923077,33.333333333333336,5.4836736943459545,1.5830002417893534,13
36,data_20140825_113047_105368_compute-0-2.local.h5,80,1.3782051282051282,0.0,2.60661866812147,0.7524659948573171,21.410256410256412,20.0,4.507053059891922,1.3010741486902637,13
37,data_20140721_113042_100163_compute-0-1.local.h5,50,2.2115384615384617,0.8333333333333334,2.6066186681214694,0.752465994857317,51.50641025641025,51.66666666666667,9.8445970657638,2.8418903829910653,13
38,data_20140721_115856_101223_compute-0-1.local.h5,50,2.555555555555556,0.4166666666666667,7.16031156643306,1.9136737617247965,25.583333333333332,29.166666666666668,12.06924466015445,3.2256413168177747,15
39,data_20140721_115856_101752_compute-0-4.local.h5,50,14.270833333333336,1.25,39.24015158645258,11.831350866266584,36.80555555555556,37.083333333333336,18.06490142736038,5.446772719028189,12
40,data_20140721_115856_101753_compute-0-4.local.h5,50,0.32051282051282054,0.0,0.592732115670094,0.17110702326973257,25.544871794871792,27.5,9.886352901930628,2.8539442546166436,13
41,data_20140721_115856_118732_compute-0-0.local.h5,50,14.967948717948719,0.0,35.7644916904702,10.324319452461554,29.74358974358974,30.0,13.991697077686503,4.039055037111002,13
42,data_20140721_115856_118733_compute-0-0.local.h5,50,4.107142857142857,1.6666666666666667,7.734202317468061,2.145081771572578,44.077380952380956,42.708333333333336,18.93112160868478,5.250548435550562,14
43,data_20140721_115856_88133_compute-0-2.local.h5,50,5.677083333333333,1.0416666666666667,15.917317695019054,4.109833756606761,38.77604166666667,40.625,18.365542699227618,4.741962734544651,16
44,data_20140721_115856_88134_compute-0-2.local.h5,50,42.11538461538463,0.4166666666666667,58.32130405695121,16.835910298385397,43.397435897435905,24.583333333333336,40.479183130711164,11.685333638546126,13
45,data_20140721_115856_95593_compute-0-3.local.h5,50,2.1153846153846154,1.6666666666666667,1.6380682486129026,0.4728695721438191,36.794871794871796,39.16666666666667,11.101686913887942,3.2047809640960745,13
46,data_20140721_115856_95594_compute-0-3.local.h5,50,6.0256410256410255,0.8333333333333334,18.116886177266398,5.229894555661283,31.474358974358974,30.0,20.76052365760084,5.993046961116719,13
47,data_20140520_123248_17595.h5,60,25.166666666666664,0.4166666666666667,52.71512362936522,14.088709408751138,34.583333333333336,29.166666666666668,23.841684628522497,6.371958243103282,15
48,data_20140521_090848_17993.h5,60,2.5892857142857144,1.0416666666666667,3.5883774417414753,0.9952368355320911,39.79166666666667,43.54166666666667,11.98828586645618,3.3249522612636926,14
49,data_20140522_055626_18272.h5,60,10.544871794871796,2.0833333333333335,27.00030894458842,7.794317818680593,32.5,31.25,23.341916919355306,6.738231008395833,13
50,data_20140523_024613_18685.h5,60,2.053571428571429,0.8333333333333334,4.600790039865948,1.2760295689523604,31.994047619047624,32.083333333333336,12.679444693824891,3.5166452298458037,14
51,data_20140523_233014_19087.h5,60,7.532051282051283,2.916666666666667,13.40272561503443,3.8690336208574108,30.80128205128205,27.5,15.091832088657824,4.356636659475614,13
52,data_20140719_203045_21294.h5,60,1.4583333333333333,0.8333333333333334,1.6360026374152425,0.4932733549398373,31.840277777777782,33.333333333333336,7.423331768988177,2.238218742914454,12
53,data_20140720_193239_21856.h5,60,7.638888888888889,0.0,23.96125183512274,7.224589258574264,36.31944444444444,32.5,19.76045296907968,5.958000744172876,12
