,filename,dbcount,frac_mean,frac_median,frac_iqr,frac_sem,ibi_mean,ibi_median,ibi_iqr,ibi_sem
39,data_20140721_115856_101752_compute-0-4.local.h5,50,0.7530913978494626,0.7541666666666667,0.07291666666666674,0.019756174781011587,0.5798333333333209,0.5599999999999881,0.1899999999999964,0.028516463618723363
40,data_20140721_115856_101753_compute-0-4.local.h5,50,0.8600694444444444,0.8666666666666667,0.07500000000000007,0.0071459749834903805,0.37170212765956656,0.3599999999999923,0.030000000000000693,0.010755757655823126
41,data_20140721_115856_118732_compute-0-0.local.h5,50,0.7695436507936508,0.7520833333333333,0.08437499999999998,0.010068452093663105,0.42597560975608845,0.3949999999999916,0.06999999999999673,0.016731578432270095
42,data_20140721_115856_118733_compute-0-0.local.h5,50,0.6154279279279281,0.6625,0.1166666666666667,0.02602476421683261,0.48569444444443405,0.44749999999999,0.17499999999999583,0.02362584740881923
43,data_20140721_115856_88133_compute-0-2.local.h5,50,0.7916666666666667,0.8104166666666667,0.13645833333333324,0.023536205969803027,0.6769999999999855,0.6499999999999861,0.3099999999999934,0.03754552791833682
44,data_20140721_115856_88134_compute-0-2.local.h5,50,0.8861111111111112,0.8875,0.04583333333333328,0.0063616201101881886,0.45789473684209553,0.41749999999999154,0.09874999999999767,0.013570624992744787
45,data_20140721_115856_95593_compute-0-3.local.h5,50,0.5068548387096775,0.42916666666666664,0.47708333333333336,0.044711986679231694,0.5816666666666542,0.5099999999999891,0.44124999999999104,0.05223858470326941
46,data_20140721_115856_95594_compute-0-3.local.h5,50,0.840719696969697,0.8583333333333333,0.06666666666666676,0.016884838567583334,0.4088372093023169,0.3899999999999917,0.049999999999998046,0.013106638619199787
47,data_20140520_123248_17595.h5,60,0.7623931623931625,0.8166666666666667,0.07499999999999996,0.028181038987833272,0.45526315789472716,0.46249999999999014,0.06499999999999728,0.016751623950937516
48,data_20140521_090848_17993.h5,60,0.425,0.3333333333333333,0.2541666666666667,0.04112635790846078,0.7120833333333181,0.6199999999999855,0.43124999999999325,0.08746371746032953
49,data_20140522_055626_18272.h5,60,0.7530555555555555,0.7666666666666667,0.1166666666666667,0.01656344297233045,0.40056818181817333,0.39249999999999163,0.10374999999999823,0.012849979957670874
