phase,psth_peak
1.400000000000000000e+02,4.241666666666666430e+01
1.500000000000000000e+02,3.825000000000000000e+01
1.500000000000000000e+02,3.754999999999999716e+01
1.500000000000000000e+02,3.418181818181817988e+01
1.500000000000000000e+02,4.785714285714285410e+01
1.500000000000000000e+02,4.492000000000000171e+01
1.500000000000000000e+02,3.463636363636363313e+01
1.500000000000000000e+02,5.181250000000000000e+01
1.500000000000000000e+02,4.026315789473684248e+01
1.500000000000000000e+02,3.823529411764705799e+01
1.500000000000000000e+02,4.739999999999999858e+01
2.000000000000000000e+02,3.581481481481481666e+01
2.000000000000000000e+02,4.853333333333333144e+01
2.000000000000000000e+02,5.582051282051281760e+01
2.000000000000000000e+02,4.431250000000000000e+01
2.000000000000000000e+02,3.938709677419355160e+01
3.000000000000000000e+02,6.662264150943396146e+01
3.000000000000000000e+02,5.458620689655172242e+01
3.000000000000000000e+02,4.939999999999999858e+01
3.000000000000000000e+02,3.707692307692308020e+01
3.000000000000000000e+02,5.791111111111111143e+01
4.000000000000000000e+02,5.238709677419355160e+01
4.000000000000000000e+02,4.050000000000000000e+01
4.000000000000000000e+02,4.841666666666666430e+01
4.000000000000000000e+02,6.203225806451612812e+01
4.000000000000000000e+02,6.827659574468084713e+01
