filename,gabascale,frac_mean,frac_med,frac_iqr
data_20141022_143848_13022_compute-0-39.local.h5,0.9,0.80329457364341084,0.80833333333333335,0.058333333333333348
data_20141022_144224_13386_compute-0-39.local.h5,0.9,0.78615196078431371,0.81874999999999998,0.098958333333333259
data_20141022_143815_72754_compute-0-8.local.h5,1.2,0.46134259259259253,0.35416666666666663,0.41666666666666663
data_20141022_144151_73121_compute-0-8.local.h5,1.2,0.42625000000000007,0.4145833333333333,0.22708333333333341
data_20141022_144239_23884_compute-0-52.local.h5,0.8,0.85051020408163258,0.85416666666666663,0.058333333333333348
data_20141022_143903_23510_compute-0-52.local.h5,0.8,0.82150537634408605,0.81666666666666665,0.064583333333333326
data_20141022_144230_17978_compute-0-45.local.h5,0.8,0.6346153846153848,0.66874999999999996,0.14479166666666654
data_20141022_143854_17608_compute-0-45.local.h5,0.8,0.87575757575757573,0.87083333333333335,0.045833333333333393
data_20141022_143900_29558_compute-0-49.local.h5,0.8,0.87520325203252036,0.87916666666666665,0.041666666666666741
data_20141022_144236_29962_compute-0-49.local.h5,0.8,0.8064393939393939,0.80000000000000004,0.074999999999999956
data_20141022_144221_26475_compute-0-38.local.h5,0.9,0.74497549019607856,0.74791666666666667,0.11458333333333337
data_20141022_143845_26107_compute-0-38.local.h5,0.9,0.79694444444444457,0.8041666666666667,0.070833333333333304
data_20141022_144203_25055_compute-0-18.local.h5,1.1,0.70194444444444426,0.79166666666666663,0.19374999999999998
data_20141022_143827_24687_compute-0-18.local.h5,1.1,0.56607142857142867,0.56874999999999998,0.515625
data_20141022_143833_85789_compute-0-28.local.h5,1.1,0.6763095238095238,0.69166666666666665,0.12708333333333333
data_20141022_144209_86165_compute-0-28.local.h5,1.1,0.49327956989247318,0.55000000000000004,0.44375000000000003
data_20141022_143857_62594_compute-0-46.local.h5,0.8,0.57685185185185173,0.58750000000000002,0.15416666666666679
data_20141022_144233_62967_compute-0-46.local.h5,0.8,0.82708333333333339,0.85833333333333328,0.053125000000000089
data_20141022_144154_63604_compute-0-9.local.h5,1.2,0.69434523809523807,0.73124999999999996,0.16875000000000007
data_20141022_143818_63238_compute-0-9.local.h5,1.2,0.4815315315315315,0.44166666666666665,0.27500000000000002
data_20141022_143809_41879_compute-0-4.local.h5,1.2,0.50967261904761907,0.53541666666666665,0.26770833333333338
data_20141022_144145_42245_compute-0-4.local.h5,1.2,0.2303240740740741,0.21666666666666667,0.030208333333333309
data_20141022_143812_64092_compute-0-6.local.h5,1.2,0.43416666666666659,0.31666666666666665,0.37916666666666665
data_20141022_144148_64491_compute-0-6.local.h5,1.2,0.31599099099099098,0.32083333333333336,0.10416666666666663
