dbcount,filename,premean,premedian,prestd,postmean,postmedian,poststd
40,data_20140824_120810_32061_compute-0-35.local.h5,7.1794871794871788,0.0,21.978362838219617,9.2307692307692335,0.0,17.113663923236686
40,data_20140824_120817_32185_compute-0-35.local.h5,1.6666666666666667,0.0,3.3333333333333335,14.444444444444445,6.666666666666667,19.139748335073961
80,data_20140525_130513_20265.h5,4.4444444444444446,0.0,11.576127763925813,14.722222222222223,15.0,7.971962653712608
80,data_20140526_110240_20695.h5,0.76923076923076927,0.0,1.4617633655117155,8.7179487179487172,10.0,5.1887452166277086
80,data_20140527_101534_21120.h5,1.6666666666666667,0.0,2.6590801173915524,6.3888888888888893,3.3333333333333335,6.7357531405456346
80,data_20140528_082350_21537.h5,2.8205128205128207,0.0,5.9076463079880552,11.794871794871796,10.0,11.272334588075669
80,data_20140529_061537_21860.h5,3.1111111111111116,0.0,6.6028693458135006,12.222222222222223,13.333333333333334,9.8936139950777289
80,data_20140825_112944_135777_compute-0-0.local.h5,7.6923076923076934,0.0,10.398060305636726,18.974358974358974,10.0,17.180125004105623
80,data_20140825_112953_135901_compute-0-0.local.h5,4.3589743589743595,0.0,14.743775546952598,14.358974358974358,13.333333333333334,13.429142948895896
80,data_20140825_113008_118292_compute-0-1.local.h5,1.7777777777777779,0.0,3.0515847214470897,6.666666666666667,6.666666666666667,6.2994078834871203
80,data_20140825_113020_118416_compute-0-1.local.h5,1.2820512820512822,0.0,2.1681454519599694,12.820512820512819,10.0,11.372982429632492
80,data_20140825_113047_105368_compute-0-2.local.h5,1.2820512820512822,0.0,2.1681454519599694,4.8717948717948723,3.3333333333333335,6.326807253938596
50,data_20140721_113042_100163_compute-0-1.local.h5,1.2820512820512822,0.0,2.8990616420763469,24.102564102564102,26.666666666666668,10.014234882650811
50,data_20140721_115856_101223_compute-0-1.local.h5,0.88888888888888895,0.0,1.978722799015546,5.7777777777777777,6.666666666666667,5.6997168777731835
50,data_20140721_115856_101752_compute-0-4.local.h5,5.2777777777777777,0.0,15.206214395074017,2.5,0.0,3.5176323534072425
50,data_20140721_115856_101753_compute-0-4.local.h5,0.76923076923076927,0.0,1.4617633655117155,5.384615384615385,6.666666666666667,3.9764262613514929
50,data_20140721_115856_118732_compute-0-0.local.h5,0.76923076923076927,0.0,1.9971489650509267,1.0256410256410258,0.0,1.6012815380508714
50,data_20140721_115856_118733_compute-0-0.local.h5,1.6666666666666665,0.0,4.4816816135765478,11.666666666666668,10.0,11.303883305208782
50,data_20140721_115856_88133_compute-0-2.local.h5,4.791666666666667,0.0,12.290842721913531,14.166666666666668,10.0,13.689682516676836
50,data_20140721_115856_88134_compute-0-2.local.h5,14.615384615384617,3.3333333333333335,21.923201878986127,14.358974358974358,6.666666666666667,17.970377651414925
